ACTIVITY,TIME,SL,EEG,BP,HR,CIRCLUATION
2,19535.4,147409.0,-9970.0,65,449,5537
2,10816.1,53595.3,-3980.0,66,224,2192
4,6039.22,7258.66,-1584.2,48,93,545
5,11691.9,71223.4,-6192.81,33,262,3211
0,5278.68,7006.0,-1344.0,5,87,479
4,13111.9,79589.1,-4070.0,49,272,3539
3,5867.66,7577.67,-1884.85,67,104,457
5,9270.85,38073.0,-3821.8,38,180,2054
0,7712.93,27308.0,-2427.0,38,166,1522
0,13346.2,49372.0,-3259.0,53,274,1813
0,10414.9,69386.0,-4704.0,74,220,3530
0,13343.3,158569.0,-7545.0,29,283,6727
4,5675.8,11126.8,-1890.28,28,102,764
0,6631.09,10245.0,-2231.0,36,121,619
2,12223.5,50867.2,-4990.0,37,234,2464
5,6962.62,8504.54,-1560.0,19,102,516
0,5928.1,11002.0,-2326.0,48,104,764
4,9769.64,32445.3,-3482.12,87,176,1922
4,9737.96,25849.3,-3397.6,29,174,1415
3,13258.4,91207.7,-5420.0,55,254,3885
0,12799.0,69920.0,-6881.0,63,265,3053
3,13571.5,49574.5,-5760.0,20,215,2188
3,9615.24,16937.7,-3927.52,82,172,973
5,10105.8,33967.9,-3514.1,95,176,1922
4,16563.6,110065.0,-5100.0,37,322,4619
3,9606.91,26544.1,-2440.0,13,166,1414
3,13204.4,75433.9,-3890.0,47,264,3217
2,4079.57,1479.75,-938.461,41,52,133
0,10380.0,18576.0,-3511.0,21,204,980
0,20207.6,256866.0,-9971.0,257,407,8474
3,8297.59,25210.3,-3227.74,27,157,1519
4,22989.3,515466.0,-11671.2,144,540,18067
2,12462.6,73467.7,-3370.0,26,249,3630
4,13775.9,62344.1,-5810.0,34,247,2754
4,7392.1,4171.09,-2217.93,71,101,249
2,9105.82,51150.1,-3780.0,31,188,2599
0,8066.08,45495.0,-4864.0,42,172,2455
0,22069.4,212441.0,-14222.0,64,586,7472
2,6250.94,7491.51,-1620.9,48,93,545
3,8222.98,9630.49,-2881.84,20,138,554
4,10645.9,26665.6,-866.476,0,158,1403
0,10304.9,32520.0,-6419.0,96,205,1637
3,11143.7,85912.1,-3560.0,19,220,3450
3,18909.0,251775.0,-12900.0,76,540,8870
3,6814.81,5451.88,-2183.84,57,107,346
0,14712.5,209828.0,-8922.0,82,366,8468
3,10653.1,37869.5,-4189.67,105,205,1751
3,10729.6,38417.4,-3776.92,33,193,2118
3,6403.82,10297.0,-3090.0,15,109,689
3,14590.1,96281.5,-5732.6,48,294,4249
2,3879.76,1442.88,-971.914,41,52,133
0,7402.95,14971.5,-2726.71,70,131,971
0,12842.9,75890.0,-6717.0,30,275,3625
3,15503.0,59527.6,-4760.0,35,215,2188
1,5411.02,4345.49,-795.0,16,88,292
3,10436.6,56838.4,-4534.93,144,217,2904
0,16723.8,120652.0,-9410.48,42,379,4825
3,13634.9,80896.8,-5710.0,55,272,3539
4,8722.93,11033.7,-3401.7,34,156,654
1,5691.93,5129.12,-1460.0,22,85,343
3,11217.0,84806.5,-2850.0,22,220,3450
0,12696.0,49791.0,-6624.0,53,288,2258
1,5045.71,4259.9,-1600.0,13,88,292
5,3778.36,2172.43,-569.854,6,43,161
4,6048.71,11240.0,-1890.35,25,102,764
0,20182.4,240663.0,-13288.0,126,555,8486
4,5488.49,7126.37,-1689.93,53,93,545
0,14088.9,103561.0,-7853.0,45,288,4344
5,9368.85,30572.6,-3260.75,113,171,1747
0,9908.07,18263.0,-4163.0,30,165,1018
5,9147.03,38023.8,-3832.24,39,180,2054
2,5353.26,4193.88,-1180.0,13,79,317
5,23778.7,282030.0,-9480.85,72,468,9276
4,6405.36,11450.0,-1897.42,23,102,764
1,5936.36,4830.26,-1690.0,24,85,343
4,5070.81,2965.58,-1195.34,45,67,224
5,9201.33,37761.4,-3824.71,41,180,2054
3,15667.5,90636.6,-1990.0,53,223,2059
0,17506.3,63952.0,-6749.0,68,292,2756
3,7513.77,9534.94,-2606.67,18,123,621
4,9287.96,27627.7,-2992.37,102,158,1403
0,5192.78,3141.0,-2237.0,24,89,223
2,2571.86,48.8687,-447.0,8,33,5
0,12370.6,75520.9,-6253.72,33,262,3211
2,8653.75,12177.1,-2449.26,80,128,693
3,7008.46,13343.6,-1495.93,16,96,804
0,11957.7,82173.0,-7083.0,169,295,3551
0,15060.2,96047.4,-8517.56,183,340,3633
0,7264.29,16290.0,-3626.0,30,139,1017
2,11285.9,113507.0,-4000.0,45,235,4905
0,20229.4,205363.0,-10957.0,106,403,6983
1,9215.98,17570.2,-4273.69,32,183,931
0,5025.06,3938.0,-2767.0,5,90,271
0,13680.0,53628.0,-4975.0,143,230,2196
5,27054.1,256608.0,-9400.0,88,537,8350
0,10975.0,18567.0,-5421.0,29,214,982
3,8487.57,28562.1,-2858.64,86,156,1521
3,10961.7,83593.5,-2170.0,25,220,3450
4,10360.9,55000.3,-1510.0,47,188,2599
0,8041.01,9047.0,-2613.0,26,146,523
4,11126.6,90190.5,-7430.0,57,254,3885
5,10485.8,58958.6,-4515.95,84,217,2904
2,16150.3,115685.0,-5310.0,57,271,4426
3,2508.42,51.6632,-274.0,96,33,5
3,20687.8,145184.0,-5590.0,70,449,5537
4,8758.69,11405.5,-3114.74,40,156,654
0,14231.4,126441.0,-10153.0,59,348,5022
3,8746.53,38912.9,-4270.0,30,196,1885
2,5316.79,3612.18,-815.13,48,51,132
4,12393.8,59692.9,-2370.0,52,223,2822
0,14688.0,108935.0,-7495.0,29,338,4347
2,15559.0,116197.0,-5020.0,61,271,4426
2,12988.4,50984.2,-4320.0,33,234,2464
3,7185.09,14036.6,-2422.49,91,120,809
3,13911.1,50102.7,-2000.0,63,223,2059
2,3979.11,1407.3,-933.349,32,52,133
2,4022.14,2115.05,-1047.73,22,54,165
3,13567.0,56851.6,-3260.0,62,224,2192
3,22710.4,474799.0,-13600.0,50,483,15505
0,6505.27,12110.0,-2084.0,12,129,767
2,8088.14,9595.48,-2918.91,98,130,490
4,13310.8,46894.3,-5846.04,63,273,2061
5,13138.6,59784.5,-2070.0,48,223,2822
4,9935.1,38684.3,-3970.25,32,193,2118
2,21777.8,167708.0,-7070.0,86,449,5537
0,13855.9,93626.0,-6333.0,25,271,4158
2,6458.09,13316.7,-1575.52,14,96,804
3,9351.05,25740.0,-3165.06,25,174,1415
5,9367.28,30800.8,-3287.19,129,171,1747
4,8999.86,26452.4,-1440.0,24,166,1414
4,10111.9,34775.7,-4263.32,122,208,1691
3,13535.0,93081.1,-5000.0,74,254,3885
4,18942.0,160807.0,-9030.0,90,388,6290
1,2548.91,51.2572,-398.0,6,33,5
3,8209.87,9847.93,-2862.33,27,138,554
0,10505.3,59817.0,-5665.0,45,213,3051
3,7305.0,14119.8,-2360.56,90,120,809
2,4894.36,3492.81,-913.578,49,51,132
3,11748.2,47734.0,-5510.0,23,215,2188
4,13016.8,75834.1,-5570.78,30,262,3211
4,14093.1,62678.6,-1050.0,53,223,2822
0,8249.55,9246.0,-2599.0,16,120,483
3,9167.92,39267.8,-2200.0,16,196,1885
0,17291.4,111363.0,-7625.0,217,358,4338
2,5721.6,4117.38,-1567.81,126,88,318
4,26181.0,490999.0,-12200.0,51,483,15505
5,8637.45,11050.6,-3197.79,31,156,654
4,7904.45,20182.6,-3025.14,67,145,1156
5,9317.83,31248.9,-3096.41,89,171,1747
3,7477.06,9520.88,-2524.07,18,123,621
1,5114.9,4242.77,-1230.0,14,88,292
4,20442.8,338806.0,-6320.0,83,462,11563
5,12987.2,72618.5,-5462.1,47,262,3211
0,15533.1,93490.0,-7554.0,184,337,3803
2,5548.02,4314.68,-1090.0,10,79,317
5,9372.11,24135.0,-2836.99,26,154,1252
2,5268.78,3319.66,-769.11,46,51,132
5,15934.0,107885.0,-5080.0,42,322,4619
0,8953.58,24963.0,-5053.0,37,164,1410
0,21592.6,399506.0,-15413.0,105,502,12822
3,20035.2,245266.0,-11900.0,79,540,8870
5,9759.47,33060.1,-3870.0,35,166,1414
4,6036.77,11053.6,-1876.03,28,102,764
4,5587.22,2952.22,-1108.43,39,67,224
2,6385.82,7402.69,-1479.59,48,93,545
3,6369.55,13659.7,-1578.51,16,96,804
5,8894.15,29210.6,-3409.38,36,179,1626
0,7234.93,11152.0,-3760.0,59,132,657
0,8550.48,34661.0,-4331.0,102,171,1988
0,4858.84,4906.0,-3084.0,35,79,367
3,11585.6,113064.0,-2960.0,48,235,4905
0,6149.15,6350.0,-2145.0,15,91,426
3,8414.06,11998.3,-2544.67,80,128,693
4,17768.6,112909.0,-5890.0,40,322,4619
5,5058.72,4087.11,-1268.13,16,72,340
0,10199.6,47695.0,-5340.0,28,210,2458
3,10877.0,49297.3,-3610.0,20,216,2677
3,4505.77,2034.51,-1032.14,5,63,166
4,7371.45,26506.4,-2746.65,73,156,1521
2,8359.8,10558.1,-2930.61,98,139,587
4,8645.02,50689.4,-4870.0,22,188,2599
0,10251.4,31297.0,-4024.0,49,242,1469
3,4301.95,2071.9,-1062.74,5,63,166
0,11654.6,131493.0,-5116.0,71,297,5734
0,13757.3,83841.0,-7462.0,27,261,3454
3,14814.8,55089.7,-5980.0,37,215,2188
4,9436.92,38991.8,-1530.0,21,196,1885
3,3930.58,1937.16,-1095.52,6,63,166
0,6090.81,8732.0,-2142.0,4,120,518
5,7509.15,9918.2,-1856.18,68,107,517
5,8598.14,22510.4,-4790.0,38,182,1212
4,6691.47,3911.54,-2382.58,72,101,249
5,9786.58,38233.1,-3740.98,43,180,2054
5,4190.95,1245.37,-926.182,34,51,102
5,9127.94,28588.0,-3448.07,36,179,1626
2,12191.2,50726.4,-5250.0,36,234,2464
3,21834.7,414636.0,-9910.0,70,473,14125
0,8489.6,5504.7,-2050.75,47,107,276
4,9913.99,31197.4,-3338.25,82,176,1922
2,6527.01,12108.5,-1817.88,5,105,765
3,8737.09,25300.3,-3149.22,33,157,1519
5,10659.2,27700.5,-3216.14,22,174,1415
4,13674.0,52867.5,-6097.03,52,288,2334
1,8488.36,12084.2,-2501.24,86,128,693
4,9899.52,27600.7,-3440.0,30,194,1521
4,17922.9,159622.0,-9710.0,89,388,6290
4,9408.07,25560.7,-3408.47,29,174,1415
4,6400.03,3828.67,-2464.98,68,101,249
4,9179.24,11777.9,-3011.55,42,156,654
4,4558.11,3980.58,-1379.14,10,72,340
0,5007.59,4945.0,-1372.0,34,77,340
4,13762.1,67126.1,-2860.0,57,223,2822
5,22632.9,278860.0,-9806.16,77,468,9276
0,9909.61,16887.0,-4757.0,20,175,851
0,8267.34,11234.0,-2208.0,22,135,587
3,9203.58,27274.7,-2710.0,24,156,1364
0,8778.14,16871.0,-2480.0,26,163,932
3,10977.0,83560.8,-1840.0,24,220,3450
0,11679.8,24783.0,-4399.0,79,251,1261
5,10716.3,27345.8,-4095.06,68,214,1469
3,7128.7,9270.96,-3156.26,16,138,554
3,11020.5,83593.5,-1300.0,25,220,3450
2,3893.93,1443.07,-955.806,42,52,133
0,11020.3,46781.0,-5876.0,38,216,2060
2,14325.8,69952.8,-3060.0,76,224,2192
0,10351.5,42931.0,-7379.0,15,191,1933
5,5580.27,3200.62,-3600.0,12,86,205
3,8654.1,25502.5,-3196.9,23,157,1519
4,8060.38,12859.4,-2687.98,15,132,806
0,21676.9,408626.0,-11500.0,66,412,10524
3,10732.0,86473.6,-2810.0,12,220,3450
3,9867.71,25858.6,-3387.28,24,174,1415
5,9434.91,30505.9,-3190.8,79,171,1747
0,11191.8,55318.0,-6165.0,35,226,2530
1,8214.07,11842.4,-2570.01,80,128,693
0,21064.6,273912.0,-10288.0,69,428,9134
0,35608.7,1011380.0,-13422.0,185,727,26725
0,6337.4,17569.0,-2918.0,8,115,1106
4,13519.0,54802.5,-2910.0,71,224,2192
5,3850.31,2156.16,-590.66,7,43,161
2,5511.4,4337.89,-1420.0,18,88,292
3,13058.7,52007.2,-3740.0,41,234,2464
4,6889.12,4067.99,-2238.56,70,101,249
5,6072.6,6377.07,-1781.47,21,95,427
2,2543.24,52.7273,-265.0,96,33,5
2,21850.9,409304.0,-8700.0,66,473,14125
0,17237.2,263354.0,-8617.0,41,412,8732
3,7349.02,14054.5,-2313.02,92,120,809
3,7900.15,20468.6,-2560.0,5,119,973
3,13777.9,52376.5,-2930.0,39,234,2464
3,4127.38,1937.71,-1093.11,6,63,166
3,6853.88,5307.66,-2174.49,65,107,346
0,21292.5,432681.0,-58766.0,306,399,11270
3,7300.19,14085.7,-2307.83,97,120,809
4,4832.32,4164.46,-1328.75,15,72,340
0,11273.8,66623.0,-4567.0,39,198,2460
2,5356.34,4458.23,-814.0,15,88,292
0,16459.1,317989.0,-9658.0,68,390,11557
3,6024.53,7600.05,-1881.43,67,104,457
2,5307.33,4226.84,-1310.0,10,79,317
4,12986.0,60587.5,-3850.0,43,247,2754
4,5023.15,4068.27,-1329.69,11,72,340
3,13440.0,51955.6,-3470.0,36,234,2464
0,7910.84,10936.0,-2176.0,21,132,586
5,10296.9,52093.2,-3300.0,32,188,2599
4,7690.52,9037.35,-1859.33,68,107,517
2,8664.27,10403.1,-2793.51,82,139,587
3,13691.9,59823.5,-5200.0,28,247,2754
2,6182.33,4758.27,-797.0,23,85,343
4,10328.8,38530.7,-3932.12,33,193,2118
2,6649.77,5238.04,-1310.0,8,79,292
4,8237.04,4654.11,-2699.01,24,131,271
3,14247.5,51169.0,-4040.0,42,234,2464
3,10394.0,48939.4,-5450.0,35,216,2677
2,6874.72,13393.7,-1550.43,18,96,804
2,3999.01,2169.38,-1041.16,20,54,165
2,6059.42,7238.09,-1630.33,50,93,545
4,14274.1,69363.1,-4410.0,66,224,2192
4,11464.9,60332.9,-6030.0,35,223,2822
0,8292.75,19296.0,-2650.0,261,153,979
0,17640.1,278992.0,-11426.0,70,454,11127
0,11103.4,38392.0,-7588.0,67,231,1695
3,9572.6,23915.1,-464.0,13,166,1111
1,2503.49,50.6827,-542.0,6,33,5
0,6569.77,10073.0,-2982.0,257,109,587
1,9162.13,17320.3,-4225.17,37,183,931
4,10418.7,38961.1,-4117.8,27,193,2118
3,9779.05,39049.6,-2000.0,22,196,1885
0,13228.5,73150.0,-8416.0,68,278,3136
0,17509.0,113266.0,-8194.0,81,388,4344
0,13007.3,143955.0,-7059.5,188,308,6057
2,4628.54,2310.02,-932.441,46,51,132
4,7388.01,26680.6,-2711.82,78,156,1521
0,9537.87,30067.0,-5280.0,36,179,1469
0,11724.8,35923.0,-4267.0,74,226,1526
0,20292.9,429516.0,-10257.0,296,479,11578
5,5064.95,4331.68,-906.207,36,60,243
3,9305.86,39288.3,-4060.0,24,196,1885
4,8029.09,9560.01,-2797.38,20,138,554
4,10406.2,34485.6,-4341.5,133,208,1691
5,7047.42,8848.22,-1390.0,21,102,516
3,7033.2,5090.73,-2001.35,70,107,346
1,5239.4,4143.73,-1260.0,19,88,292
5,7575.12,9002.38,-1660.0,28,102,516
4,8447.87,20320.6,-3496.65,94,163,1162
0,9880.12,18701.0,-4093.0,81,137,849
0,13796.8,113069.0,-8374.0,191,322,4434
3,9228.5,36909.9,-4070.0,45,196,1997
0,9929.38,22145.0,-3401.0,53,176,1071
2,16801.2,162791.0,-7493.42,85,352,6744
0,13077.4,80616.0,-6104.0,42,299,3463
3,5685.93,7032.41,-1646.09,48,93,545
5,10457.0,35209.8,-4224.16,110,208,1691
3,12587.3,37447.7,2980.0,33,234,1581
3,7995.24,12342.3,-3021.73,93,136,619
0,6742.64,5239.04,-2437.2,70,107,346
2,21230.4,147469.0,-7260.0,89,449,5537
3,15107.8,60202.7,-6476.76,148,305,2610
0,15462.5,161451.0,-8745.0,59,353,6186
0,35380.7,1071590.0,-23119.0,258,810,25364
3,11725.6,51766.5,-3500.0,29,216,2677
3,6911.97,5303.66,-2125.13,55,107,346
3,7552.65,15517.5,-2772.46,77,134,970
0,6434.38,13248.6,-1685.07,10,96,804
3,5939.29,11574.0,-1850.09,32,105,765
4,5826.37,11120.2,-1913.15,31,102,764
3,6775.69,10515.8,-3070.0,11,109,689
1,5225.79,4234.02,-1590.0,13,88,292
3,14895.3,84297.5,-2310.0,69,223,2059
3,14371.9,71519.8,-2900.0,77,224,2192
4,5462.1,3536.6,-795.166,50,51,132
0,6906.91,7826.0,-2549.0,63,109,485
4,19186.7,161257.0,-9460.0,87,388,6290
0,15422.8,150347.0,-8133.0,197,368,5644
4,12738.6,58966.4,-1250.0,46,223,2822
2,12157.9,73339.7,-5080.0,25,249,3630
3,5638.36,7435.98,-1947.05,75,104,457
3,6865.87,5166.32,-2108.0,57,107,346
4,4211.05,1415.74,-888.982,25,51,102
0,8718.27,11864.0,-2788.0,23,150,694
2,7136.67,13663.5,-1459.32,16,96,804
0,23710.0,434797.0,-9049.0,98,472,11282
3,4716.29,3111.85,-1187.45,33,71,249
0,25614.1,400734.0,-17442.0,207,546,12209
4,10260.4,37694.7,-4375.17,33,193,2118
3,10854.1,38612.9,-3776.82,22,193,2118
0,15277.1,107642.0,-10052.0,244,357,4623
0,17980.7,229556.0,-9004.0,102,366,7956
0,5693.33,2726.0,-4101.0,19,96,204
2,4956.76,2792.52,-1277.59,52,67,224
4,5964.37,11095.4,-1940.75,23,102,764
4,9364.02,12502.1,-2618.76,87,136,619
2,12023.0,73445.8,-4610.0,30,249,3630
2,3987.68,1446.19,-994.009,42,52,133
0,13904.1,78426.0,-8356.0,75,256,2902
3,6639.84,5091.24,-2173.44,49,107,346
0,9737.19,9761.0,-2979.0,21,147,585
3,14500.8,95456.1,-5724.15,52,294,4249
3,13386.9,50396.9,-4780.0,20,215,2188
2,20797.3,410047.0,-8400.0,63,473,14125
4,8591.09,28030.5,-2676.76,85,156,1521
4,9236.63,24751.3,-2839.01,22,154,1252
0,6623.88,2262.0,-853.0,14,90,132
4,14357.4,95273.8,-5719.22,35,294,4249
1,5739.47,4971.15,-881.0,26,85,343
3,8475.38,12426.0,-2633.31,75,136,619
3,20404.1,249306.0,-12900.0,100,537,8350
3,8540.61,12397.5,-2890.89,86,136,619
4,8047.74,9814.76,-2376.52,14,123,621
5,13514.0,51959.9,-5704.83,63,288,2334
0,12208.3,33304.0,-3864.0,121,198,1580
3,14754.2,94925.4,-5653.3,41,294,4249
3,2498.04,42.2242,-195.0,96,33,5
4,24076.9,269238.0,-11300.0,80,540,8870
4,10419.2,27959.9,-2470.0,26,194,1521
4,13849.5,140817.0,-6051.72,159,308,6057
5,7633.63,4363.7,-2835.55,27,131,271
3,9777.73,27021.2,-3334.96,30,174,1415
3,10933.8,27043.5,-4335.87,44,214,1469
2,2456.07,54.2252,-184.0,6,33,5
0,13779.4,128523.0,-7673.0,75,346,5420
4,12707.6,76058.0,-5448.34,50,262,3211
3,8770.62,13949.2,-2894.93,7,148,729
3,8893.55,16653.9,-2732.41,81,142,844
5,6858.97,8665.53,-1600.0,17,102,516
3,16777.4,161094.0,-12800.0,83,388,6290
1,2328.21,50.0289,-343.0,12,33,5
0,12423.8,51665.0,-7282.0,56,302,2403
5,9199.92,38163.9,-3830.97,37,180,2054
3,13118.0,115674.0,-2820.0,37,235,4905
0,6793.45,6067.0,-2743.0,4,76,318
0,14436.3,28338.0,-6737.0,47,276,1169
0,16137.3,204358.0,-10394.0,158,354,7823
3,7168.26,14231.1,-2348.39,79,120,809
1,8529.73,12141.4,-2507.95,93,128,693
2,16172.9,161392.0,-7644.43,70,352,6744
0,14278.7,152195.0,-8449.0,45,308,5960
0,6626.21,4743.0,-3357.0,19,105,295
2,2406.0,53.505,-355.0,8,33,5
0,17700.7,82231.0,-8008.0,78,342,3138
0,8272.92,24648.0,-3056.0,34,166,1463
2,13376.8,51208.5,-2480.0,35,234,2464
2,21945.5,410461.0,-9630.0,63,473,14125
1,5788.34,4911.39,-1480.0,22,85,343
4,6477.21,10274.0,-2150.0,15,109,689
0,21078.0,208652.0,-9187.0,92,430,6984
4,5895.48,11145.7,-1910.7,23,102,764
4,7209.92,4105.69,-2243.49,70,101,249
2,4012.01,2177.13,-1127.91,20,54,165
1,2433.57,49.3236,-453.0,8,33,5
2,11650.2,36852.9,-3880.0,24,234,1581
0,5636.08,2648.0,-1341.0,6,80,226
4,14670.8,113827.0,-5920.0,54,271,4426
2,6179.12,5223.24,-2220.0,8,79,292
2,8302.46,9504.84,-2837.6,100,130,490
1,5320.21,4245.38,-1260.0,15,88,292
2,4004.33,2168.84,-1091.01,20,54,165
4,14161.9,42392.9,-1750.0,56,234,1581
4,10584.4,54044.5,-1850.0,36,188,2599
2,16045.4,164289.0,-7684.35,80,352,6744
2,16490.7,161776.0,-7097.75,72,352,6744
3,10264.6,85325.9,-2490.0,22,220,3450
0,9981.42,28499.0,-4789.0,78,174,1418
4,8746.41,17623.1,-2780.87,76,142,844
5,7766.64,4586.83,-2716.37,31,131,271
0,14722.1,95151.0,-8205.0,35,280,3543
3,19712.1,227843.0,-9590.0,107,537,8350
3,9772.94,51906.7,-2190.0,27,188,2599
2,4120.69,1491.62,-925.458,37,52,133
4,10655.0,37605.2,-4086.73,96,205,1751
3,9209.08,25361.9,-774.0,15,166,1111
4,7037.62,4070.7,-2350.37,72,101,249
4,8920.01,11445.9,-3016.1,38,156,654
0,9731.42,21297.0,-3546.0,74,154,1116
3,4548.96,1953.43,-1022.43,11,63,166
2,12784.1,38579.0,-1910.0,21,234,1581
4,9595.29,26375.2,-3336.37,30,174,1415
3,2401.42,49.0126,-589.0,92,33,5
5,3675.47,2044.92,-566.965,9,43,161
5,8518.72,25884.1,-2420.0,45,156,1364
3,9371.81,10150.1,-1690.0,34,154,587
5,6342.67,4222.11,-1931.71,63,101,270
0,14332.8,92539.0,-5339.0,149,300,3886
5,10037.8,54932.6,-4620.0,54,247,2754
5,8842.42,29197.2,-3405.47,36,179,1626
2,13046.6,50920.0,-4530.0,40,234,2464
3,11220.4,85725.6,-2320.0,21,220,3450
4,9283.25,25748.4,-3440.97,29,174,1415
5,8950.95,20678.0,-2684.51,64,152,1165
4,23265.1,517435.0,-11483.5,113,540,18067
4,5209.72,2973.84,-1167.64,49,67,224
4,7386.96,4635.43,-2701.24,35,131,271
2,5678.32,4132.52,-1489.71,116,88,318
3,6931.52,9203.3,-3230.41,32,138,554
5,9207.01,30161.3,-3339.17,121,171,1747
5,9493.59,22983.7,-3785.88,31,176,1313
0,11726.2,86720.0,-6151.0,67,201,3535
0,5550.83,1806.0,-2489.0,46,85,151
4,4668.61,4626.2,-2430.0,14,79,317
5,21335.1,288174.0,-9994.03,92,468,9276
3,8836.55,51150.5,-3640.0,28,188,2599
3,7141.19,14196.9,-2395.55,88,120,809
4,9164.36,11236.7,-3039.04,28,156,654
3,6683.28,10440.1,-2580.0,13,109,689
3,11110.8,85553.4,-3060.0,24,220,3450
3,10475.4,48576.5,-4760.0,36,216,2677
0,5720.23,16122.0,-2347.0,14,123,932
3,6965.66,5254.65,-2180.69,57,107,346
4,5521.12,2659.98,-321.0,45,53,133
0,17624.3,208844.0,-7547.0,83,378,7823
0,9189.21,24662.4,-2880.08,26,143,1017
0,14109.0,87504.9,-7195.81,207,296,3464
0,7881.38,18966.0,-3255.0,35,152,1108
4,21343.2,410954.0,-7690.0,58,473,14125
3,4016.97,1991.91,-1086.2,5,63,166
5,12837.5,46962.7,-5880.67,63,273,2061
4,9606.79,34330.5,-3513.28,83,176,1922
5,7446.7,13147.6,-2719.06,25,132,806
3,9209.61,25563.9,-1293.36,85,157,1519
4,11181.0,39812.7,-3867.35,29,193,2118
0,15710.6,93927.0,-8387.0,152,321,3224
3,7422.99,9606.19,-2493.37,16,123,621
4,4521.59,3148.7,-1209.97,36,71,249
0,13883.6,71792.0,-4577.0,56,287,3215
1,12223.1,73592.9,-4380.0,29,249,3630
5,10166.0,33828.7,-3368.04,86,176,1922
4,6098.65,2160.11,-1410.73,14,82,185
4,14338.1,56594.2,-4170.0,49,215,2188
0,20073.7,368507.0,-11947.0,348,492,12985
0,6886.22,6727.0,-2902.0,6,99,316
0,10617.2,27365.0,-4101.0,38,210,1527
0,7264.28,8810.0,-2463.0,11,107,399
0,10016.8,36304.0,-4744.0,40,212,2054
5,13826.0,72506.0,-2516.7,77,262,3211
0,7209.32,9947.0,-2673.0,23,132,618
3,6848.89,5252.05,-2155.44,59,107,346
4,8682.24,30386.2,-2071.68,29,132,1513
3,14545.1,54769.9,-3770.0,46,215,2188
3,8966.56,23785.7,-2835.27,21,154,1252
0,20518.1,377744.0,-13820.0,100,483,12829
4,14624.3,144319.0,-6320.0,73,315,5844
2,6839.76,5311.48,-1610.0,17,79,292
0,13895.8,147923.0,-6262.0,215,301,5733
0,12114.0,50825.0,-4883.0,28,214,2062
3,9950.14,10300.0,-1930.0,35,154,587
5,9179.91,26921.2,-2220.0,21,166,1414
4,5858.03,7339.07,-1646.41,43,93,545
4,4866.85,3226.94,-1184.48,38,71,249
2,5271.61,3081.26,-1113.77,38,71,249
0,10814.1,34943.0,-3929.0,5,209,1694
3,12730.0,80017.2,-5920.0,50,272,3539
3,12778.8,61035.7,-5710.0,24,247,2754
0,6043.15,8225.33,-2301.62,57,98,582
2,13363.8,50937.9,-3150.0,33,234,2464
3,8117.63,9802.18,-3000.54,96,130,490
5,6763.83,7123.42,-2120.0,160,109,486
0,16658.3,126664.0,-10596.0,275,340,5324
0,14333.8,81063.0,-6370.0,226,257,3371
2,12409.4,116526.0,-3610.0,43,235,4905
3,6576.78,10332.0,-3320.0,14,109,689
0,16448.7,322709.0,-9759.0,63,452,11273
2,3872.61,2176.36,-1150.22,20,54,165
0,25679.0,381090.0,-12477.0,129,661,12215
4,7546.26,4593.67,-2581.74,30,131,271
3,12697.4,60614.5,-5550.0,22,247,2754
3,17032.8,162001.0,-8760.0,71,388,6290
2,5626.82,4165.15,-1403.26,112,88,318
3,20999.5,232615.0,-4140.0,116,537,8350
0,11977.7,62135.0,-4375.0,229,216,2396
5,9459.62,30879.5,-3140.24,119,171,1747
4,13419.8,80216.1,-6230.0,47,272,3539
0,9564.37,15503.0,-4393.0,33,190,774
2,2413.1,52.1699,-494.0,6,33,5
0,10330.6,60880.0,-3371.0,34,229,3053
0,19868.9,223617.0,-12726.0,278,464,8220
3,8787.61,27071.6,-2240.0,36,156,1364
0,5823.53,1511.0,-1354.0,23,79,104
2,5794.36,7495.05,-1844.16,73,104,457
3,14143.1,52069.2,-3190.0,34,234,2464
5,8856.92,25521.3,-2500.0,43,156,1364
0,10002.3,25223.0,-4545.0,100,168,1409
4,7303.26,8353.2,-1876.75,70,107,517
4,8996.04,11496.2,-3024.75,28,156,654
0,23429.4,238149.0,-9215.0,54,451,7840
3,6987.55,13566.8,-1449.03,18,96,804
2,4816.71,3815.99,-1140.0,14,79,317
2,10204.8,50774.2,-4810.0,71,224,2192
4,6409.8,3936.92,-2329.77,70,101,249
2,17173.9,139969.0,-10300.0,78,449,5537
4,24564.4,265084.0,-11100.0,81,540,8870
2,12159.3,50684.5,-6420.0,38,234,2464
3,17710.7,178773.0,-6710.0,64,403,6746
2,2453.93,63.2127,-362.0,96,33,5
4,9976.42,26681.2,-3213.4,22,174,1415
5,5214.41,4676.85,-1760.0,10,85,343
4,7503.18,12866.3,-2817.29,15,132,806
2,12931.7,37830.3,-1860.0,42,234,1581
4,8700.53,11232.4,-3102.63,37,156,654
0,18994.7,283321.0,-15139.0,201,507,10256
1,5772.94,4992.1,-477.0,36,85,343
4,6183.55,7215.07,-1570.96,45,93,545
3,12425.6,114936.0,-2460.0,42,235,4905
0,14800.2,63884.0,-6647.0,29,249,2899
0,8206.15,29415.0,-4151.0,28,159,1577
4,22219.8,407653.0,-7820.0,55,473,14125
5,7695.11,9061.36,-1320.0,30,102,516
3,8452.77,26073.5,-2480.0,27,156,1364
0,10136.1,49504.0,-4397.0,32,215,2678
2,3933.1,2169.08,-1136.79,20,54,165
